congress,chamber,rollnumber,date,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc
115,House,1044,2018-07-18,2,337,244,35,-0.46299999999999997,0.8859999999999999,-0.53,-0.599,-17.522000000000002,HRES990,Passed,Supporting the officers and personnel who carry out the important mission of the United States Immigration and Customs Enforcement,"On Motion to Suspend the Rules and Agree, as Amended",
115,House,1045,2018-07-18,2,338,414,0,0.0,0.0,0.0,0.0,0.0,HR1037,Passed,"To authorize the National Emergency Medical Services Memorial Foundation to establish a commemorative work in the District of Columbia and its environs, and for other purposes","On Motion to Suspend the Rules and Pass, as Amended",
115,House,1046,2018-07-18,2,339,226,186,0.027000000000000003,0.021,-0.715,0.068,-0.266,HRES1001,Passed,"Providing for consideration of H.Con.Res. 119, expressing the sense of Congress that a carbon tax would be detrimental to the United States economy",On Ordering the Previous Question,
115,House,1047,2018-07-18,2,340,229,183,0.147,-0.654,-0.62,-0.907,-9.256,HRES1001,Passed,"Providing for consideration of H.Con.Res. 119, expressing the sense of Congress that a carbon tax would be detrimental to the United States economy",On Agreeing to the Resolution,
115,House,1048,2018-07-18,2,341,172,237,0.19699999999999998,0.973,-0.27699999999999997,-0.233,-92.77600000000001,HR6147,Failed,,On Agreeing to the Amendment,
115,House,1049,2018-07-18,2,342,190,223,0.22699999999999998,-0.285,0.303,0.738,-26.342,HR6147,Failed,,On Agreeing to the Amendment,
115,House,1050,2018-07-18,2,343,217,196,0.033,0.9990000000000001,0.266,0.311,-74.582,HR6147,Agreed to,,On Agreeing to the Amendment,
115,House,1051,2018-07-18,2,344,194,218,0.07200000000000001,0.22699999999999998,0.525,1.089,-17.683,HR6147,Failed,,On Agreeing to the Amendment,
115,House,1052,2018-07-18,2,345,114,297,0.423,-0.9059999999999999,-0.29100000000000004,0.109,-104.985,HR6147,Failed,,On Agreeing to the Amendment,
115,House,1053,2018-07-18,2,346,215,194,0.154,0.037000000000000005,-0.45,-1.442,-32.119,HR6147,Agreed to,,On Agreeing to the Amendment,
115,House,1054,2018-07-18,2,347,215,199,0.013000000000000001,0.317,-0.242,-0.583,-48.97,HR6147,Agreed to,,On Agreeing to the Amendment,
115,House,1055,2018-07-18,2,348,227,185,0.23199999999999998,-0.332,-0.24,-0.573,-40.309,HR6147,Agreed to,,On Agreeing to the Amendment,
115,House,1056,2018-07-18,2,349,213,202,0.166,0.086,-0.47700000000000004,-1.287,-27.335,HR6147,Agreed to,,On Agreeing to the Amendment,
115,House,1057,2018-07-18,2,350,213,201,0.4,-0.38799999999999996,-0.474,-1.329,-34.857,HR6147,Agreed to,,On Agreeing to the Amendment,
115,House,1058,2018-07-18,2,351,213,202,0.225,-0.068,-0.249,-0.5760000000000001,-50.977,HR6147,Agreed to,,On Agreeing to the Amendment,
115,House,1059,2018-07-18,2,352,203,212,0.34,-0.233,0.406,1.321,-40.806,HR6147,Failed,,On Agreeing to the Amendment,
115,House,1060,2018-07-18,2,353,206,209,0.079,0.305,-0.44799999999999995,-1.296,-37.055,HR6147,Failed,,On Agreeing to the Amendment,
115,House,1061,2018-07-18,2,354,216,199,0.013000000000000001,0.302,-0.512,-1.4769999999999999,-35.912,HR6147,Agreed to,,On Agreeing to the Amendment,
115,House,1062,2018-07-18,2,355,193,220,0.42,-0.307,-0.48700000000000004,-0.815,-47.5,HR6147,Failed,,On Agreeing to the Amendment,
115,House,1063,2018-07-18,2,356,174,240,0.503,-0.8640000000000001,-0.37799999999999995,-0.33299999999999996,-78.005,HR6147,Failed,,On Agreeing to the Amendment,
115,House,1064,2018-07-18,2,357,215,199,0.203,0.124,-0.638,-0.775,-19.983,HR6147,Agreed to,,On Agreeing to the Amendment,
115,House,1065,2018-07-18,2,358,190,224,-0.172,0.985,0.307,0.368,-33.989000000000004,HR6147,Failed,,On Agreeing to the Amendment,
115,House,1066,2018-07-18,2,359,226,189,-0.142,0.9229999999999999,-0.607,-0.8490000000000001,-13.390999999999998,HR6147,Agreed to,,On Agreeing to the Amendment,
115,House,1067,2018-07-18,2,360,223,192,0.10099999999999999,0.22899999999999998,-0.273,-0.156,-26.456999999999997,HR6147,Agreed to,,On Agreeing to the Amendment,
115,House,1068,2018-07-18,2,361,231,184,-0.028999999999999998,-0.27699999999999997,-0.9670000000000001,-0.084,-4.365,HR6147,Agreed to,,On Agreeing to the Amendment,
115,House,1069,2018-07-18,2,362,201,212,0.128,0.992,-0.57,-0.537,-47.632,HR6147,Failed,,On Agreeing to the Amendment,
